"FID,POINTID,Depth,POINTID_1,EC,OC,Elev,oc1,ec1,LC0_Desc,EVI250,LST250,susm,twi,TH_LAT,TH_LONG,slope250,Prec_World,Temp_Iberi,pr37040,pr37060,pr58040,pr58060,T37040,t37060,t58560,t58540"
"43,28941888,0-20 cm,28941888,0.6,308.7,370,308.7,0.6,Cropland,0.128675112,15040.19565,50.23350143,-1.281970024,38.68597704,-6.437274992,0.437599003,48.98460007,16.70149994,46.5,45.08333333,48,44.83333333,10.10000038,11.25,11.35000038,10.25"
"44,28962042,0-20 cm,28962042,1.2,87.2,330,87.2,1.2,Cropland,0.28048847,14899.88636,45.61100006,-1.546329975,40.0477875,-6.765611529,0.528186023,59.13420105,15.82349968,56.16666667,55.5,58.33333333,54.91666667,10.35000038,11.39999962,11.44999981,10.44999981"
"45,29001862,0-20 cm,29001862,0.7,83.2,566,83.2,0.7,Cropland,0.143015919,14999.02174,51.41880035,-1.192409992,38.46791574,-6.312725995,1.184409976,54.70040131,15.91460037,51.91666667,50.16666667,53.58333333,49.83333333,9.350000381,10.55000019,10.55000019,9.5"
"46,29041888,0-20 cm,29041888,0.8,284,394,284,0.8,Cropland,0.147246218,15053.65909,44.31990051,-1.653810024,38.70534404,-6.324876952,0.894729018,49.69499969,16.64450073,47.25,45.58333333,48.75,45.5,10,11.14999962,11.25,10.14999962"
"47,29062002,0-20 cm,29062002,2.3,371,402,371,2.3,Grassland,0.232690793,14954.95455,50.61849976,-2.728970051,39.71516222,-6.558504854,2.304709911,49.34529877,16.42099953,47.08333333,46,48.75,45.91666667,10.30000019,11.35000038,11.44999981,10.39999962"
"48,29081976,0-20 cm,29081976,0.5,48.1,432,48.1,0.5,Grassland,0.244303648,14977,47.45920181,0.157964006,39.48983509,-6.476387604,0.463252991,47.4239006,16.19790077,45.16666667,44.08333333,46.66666667,44,9.600000381,10.69999981,10.75,9.75"
"49,29101954,0-20 cm,29101954,2.5,247,426,247,2.5,Grassland,0.226104206,14964.34783,42.3429985,-1.849189997,39.29965161,-6.403980721,0.731315017,45.97439957,16.26399994,43.66666667,42.41666667,45.25,42.58333333,9.649999619,10.80000019,10.89999962,9.850000381"
"50,29141956,0-20 cm,29141956,1.8,133.8,454,133.8,1.8,Cropland,0.264217126,14934.36957,42.3429985,-0.586323023,39.32505941,-6.363106919,1.184409976,46.46049881,16.13999939,44.08333333,42.83333333,45.75,43.08333333,9.550000191,10.64999962,10.69999981,9.699999809"
"51,29261832,0-20 cm,29261832,1,163.8,655,163.8,1,Bareland,0.162770376,14938.44444,54.64339828,-1.149829984,38.25218456,-5.957074641,0.610791981,57.20000076,15.31210041,53.58333333,51.75,55.41666667,51.16666667,8.800000191,10,10.05000019,8.949999809"
"52,29281840,0-20 cm,29281840,0.9,93.8,636,93.8,0.9,Cropland,0.191323404,14921.95652,54.64339828,-2.375329971,38.32674739,-5.951734048,1.189280033,57.19300079,15.38700008,53.5,51.83333333,55.41666667,51.25,8.800000191,10,10.05000019,8.949999809"
"53,29281846,0-20 cm,29281846,1,448.7,625,448.7,1,Cropland,0.17144923,15007.15217,51.23089981,-1.050600052,38.37983676,-5.96452855,0.454257011,56.51440048,15.56949997,53,51.41666667,54.91666667,50.75,8.949999809,10.10000038,10.19999981,9.100000381"
"54,29481906,0-20 cm,29481906,1.1,434.2,339,434.2,1.1,Cropland,0.180716743,14963.93478,50.58580017,-2.195760012,38.94820866,-5.868316954,1.06329,48.5082016,16.42259979,45.75,44.33333333,47.41666667,44.16666667,9.949999809,11.10000038,11.14999962,10.10000038"
"55,29481960,0-20 cm,29481960,1,165.2,514,165.2,1,Woodland,0.255611978,14940.86667,50.87210083,-2.033900023,39.42550558,-5.985859452,0.848335028,47.37950134,15.8203001,44.91666667,44,46.83333333,43.91666667,9.199999809,10.30000019,10.39999962,9.350000381"
"56,29482076,0-20 cm,29482076,3.2,87.2,1084,87.2,3.2,Woodland,0.236176212,14587.15385,48.06330109,-4.051020145,40.44916511,-6.246603616,15.49160004,79.68569946,12.50360012,77,76.5,79.83333333,75.66666667,7.300000191,8.399999619,8.449999809,7.449999809"
"57,29541898,0-20 cm,29541898,1.2,298.4,413,298.4,1.2,Cropland,0.197030343,15016.71111,48.78519821,-2.586050034,38.88868459,-5.783407686,1.634920001,50.68840027,16.28660011,47.58333333,46.08333333,49.5,45.83333333,9.600000381,10.80000019,10.85000038,9.800000191"
"58,29621940,0-20 cm,29621940,1.5,204,426,204,1.5,Woodland,0.250242939,14997.26667,41.26350021,-2.394360065,39.27508301,-5.783220497,1.129510045,47.24720001,16.1446991,44.66666667,43.41666667,46.5,43.5,9.649999619,10.80000019,10.85000038,9.800000191"
"59,29641894,0-20 cm,29641894,0.8,105.9,401,105.9,0.8,Cropland,0.208985751,14949.5,50.60160065,4.001299858,38.87189415,-5.66203901,1.38654995,50.43080139,16.2446003,47.08333333,45.58333333,49,45.33333333,9.550000191,10.69999981,10.80000019,9.699999809"
"60,29701918,0-20 cm,29701918,1.3,300.9,349,300.9,1.3,Bareland,0.229390313,14892.42222,50.98289871,-2.194519997,39.09538267,-5.645289484,1.149780035,46.11410141,16.1807003,43.41666667,42.25,45.08333333,42,9.899999619,11.10000038,11.14999962,10.10000038"
"61,29762010,0-20 cm,29762010,0.7,53.5,312,53.5,0.7,Woodland,0.214101083,14906.17391,64.7492981,-1.589640021,39.91992976,-5.776234893,0.833616018,40.06679916,16.00849915,38.08333333,37.5,39.66666667,37.25,9.649999619,10.75,10.85000038,9.850000381"
